groups;type_vegetation;n;;
pasto_fire;terrain;1;chaume;
pasto_fire;vegetation;128;STH;
pasto_fire;vegetaux;6;STH;
pasto_fire;vigne;3;TBR;
pasto_fire;2_maisons;1;TBR;
pasto_fire;ajonc;1;STH;
pasto_fire;arbre;1;bois;
pasto_fire;arbre_buisson;1;bois;
pasto_fire;arbuste;2;bois;
pasto_fire;bois_broussaille;3;bois;
pasto_fire;bois_buis;1;bois;
pasto_fire;bois_mort;1;bois;
pasto_fire;bois_taillis;1;bois;
pasto_fire;branchage;4;bois;
pasto_fire;branchage_bois;1;bois;
pasto_fire;branche;7;bois;
pasto_fire;branche_friche;1;bois;
pasto_fire;broussaille_arbre;1;bois;
pasto_fire;broussaille_arbuste;1;bois;
pasto_fire;broussaille_bois;3;bois;
pasto_fire;broussaille_chenes_verts;1;bois;
pasto_fire;broussaille_culture;1;STH;
pasto_fire;broussaille_foret;2;bois;
pasto_fire;broussaille_garrigue;1;bois;
pasto_fire;broussaille_genet;2;STH;
pasto_fire;broussaille_herbe;2;STH;
pasto_fire;broussaille_lande;3;STH;
pasto_fire;broussaille_pinede;1;bois;
pasto_fire;broussaille_resineux;3;bois;
pasto_fire;bruyere_feuillus;1;bois;
pasto_fire;bruyere_hautes_herbes;1;STH;
pasto_fire;buisson_herbe;1;STH;
pasto_fire;canne;2;STH;
pasto_fire;chablis;2;STH;
pasto_fire;chataigneraie;1;bois;
pasto_fire;chataignier;4;bois;
pasto_fire;chene_blanc;1;bois;
pasto_fire;cypres;1;bois;
pasto_fire;dechet;1;TBR;
pasto_fire;detritus;1;TBR;
pasto_fire;detritus_vegetaux;1;TBR;
pasto_fire;epicea;1;bois;
pasto_fire;feuille_herbe;1;STH;
pasto_fire;foin_herbe;1;STH;
pasto_fire;fougere_foret;1;bois;
pasto_fire;fougeres_genets;2;STH;
pasto_fire;friche_bois;1;bois;
pasto_fire;garrigue_pinede;1;bois;
pasto_fire;garrigues;4;STH;
pasto_fire;garrigues_herbe_seche;1;STH;
pasto_fire;genet;15;STH;
pasto_fire;genet_broussaille;1;STH;
pasto_fire;genet_broussaille_resineux;1;bois;
pasto_fire;genet_fougere;1;STH;
pasto_fire;genet_herbe_seche;1;STH;
pasto_fire;genet_ronce;1;STH;
pasto_fire;genets_et_arbustes;1;STH;
pasto_fire;herbe_arbre;1;bois;
pasto_fire;herbe_broussaille_resineux;1;bois;
pasto_fire;herbe_foret;1;bois;
pasto_fire;herbe_garrigue;1;STH;
pasto_fire;herbe_haie;1;STH;
pasto_fire;herbe_materiel;1;STH;
pasto_fire;herbe_ronce_arbre;1;bois;
pasto_fire;herbe_sous_bois;1;bois;
pasto_fire;lande_broussaille;6;STH;
pasto_fire;landes_broussaille_resineux;1;bois;
pasto_fire;landes_et_sous_bois;1;bois;
pasto_fire;landes_foret;1;bois;
pasto_fire;lavande;1;lavande;
pasto_fire;maquis;6;STH;
pasto_fire;marais;3;TBR;
pasto_fire;parc;1;STH;
pasto_fire;pelouse;1;STH;
pasto_fire;petit_maquis;1;STH;
pasto_fire;pin_broussaille;2;bois;
pasto_fire;pinede;14;bois;
pasto_fire;pinede_garrigue;1;bois;
pasto_fire;pinede_sous_bois;1;bois;
pasto_fire;pins_chenes_et_chablis;1;bois;
pasto_fire;prairie_seche;1;STH;
pasto_fire;pre_lande;1;STH;
pasto_fire;residus_coupe;1;TBR;
pasto_fire;resineux;7;bois;
pasto_fire;resineux_broussaille;1;bois;
pasto_fire;ronce;2;STH;
pasto_fire;roseau;3;STH;
pasto_fire;roseau_broussaille;1;STH;
pasto_fire;roseaux;1;STH;
pasto_fire;roseliere;1;STH;
pasto_fire;serres_agricoles;1;TBR;
pasto_fire;souche;2;bois;
pasto_fire;souche_broussaille;1;bois;
pasto_fire;sous_bois_broussaille;1;bois;
pasto_fire;sous_bois_et_foret_de_chene;1;bois;
pasto_fire;sous_bois_genets;3;bois;
pasto_fire;sous_bois_prairie;1;bois;
pasto_fire;sous_bois_resineux;1;bois;
pasto_fire;taillis;1;bois;
pasto_fire;taillis_broussaille_genet;1;bois;
pasto_fire;talus;1;TBR;
pasto_fire;vegetation_herbe;8;STH;
pasto_fire;vegetation_pinede;2;bois;
pasto_fire;verger_vigne_broussaille;1;bois;
pasto_fire;vigne_broussaille;1;STH;
pasto_fire;vigne_vegetation;1;STH;
pasto_fire;zone_humide;1;TBR;
pasto_fire;NA;569;;
